filename,orig_x0,orig_x1,orig_y0,orig_y1,rms_contrast,michelson_contrast
N1473725070_1_CALIB.LBL,266,296,800,830,0.06313917509100131,0.1621385367749147
N1473727285_1_CALIB.LBL,885,915,60,90,0.020525486569290412,0.05116851854870054
N1473727285_1_CALIB.LBL,997,1020,359,389,0.01498492359171213,0.03747275379915823
N1473727285_1_CALIB.LBL,412,442,354,384,0.010970345533841385,0.03495132439797296
N1473727285_1_CALIB.LBL,989,1019,530,560,0.01433812326029745,0.03887088819936518
N1473726373_1_CALIB.LBL,301,331,429,459,0.1036887270510457,0.240115346864874
N1473726373_1_CALIB.LBL,576,606,567,597,0.07024519697559019,0.18299243709577517
N1473726373_1_CALIB.LBL,933,963,673,703,0.07789082786001096,0.19038726138137416
N1473726373_1_CALIB.LBL,468,498,606,636,0.05594791965711448,0.1573951381302802
N1473725976_1_CALIB.LBL,797,827,166,196,0.0463811474133867,0.12151463694722354
N1473725976_1_CALIB.LBL,634,664,89,119,0.04166180275247535,0.11846289696339833
N1473715224_1_CALIB.LBL,620,650,96,126,0.03139148202205025,0.08510266303932942
N1473721013_1_CALIB.LBL,479,509,527,557,0.05157911166483023,0.12505018841621882
N1473721013_1_CALIB.LBL,754,784,525,555,0.08304977719200149,0.1913416291463306
N1473721013_1_CALIB.LBL,869,899,637,667,0.054820409706682754,0.14139138373044963
N1473721013_1_CALIB.LBL,521,551,528,558,0.054405348047218985,0.12692514261770432
N1473721013_1_CALIB.LBL,486,510,521,551,0.04985731418945763,0.11819781222392159
N1473714949_1_CALIB.LBL,728,758,150,180,0.04771892670652967,0.11035256099364991
N1473714949_1_CALIB.LBL,544,574,86,116,0.03143084696156835,0.0839989126033629
N1473714949_1_CALIB.LBL,683,713,124,154,0.04378869577817876,0.10806341313179404
N1473714949_1_CALIB.LBL,158,188,800,830,0.008342661048926328,0.029348631343249196
N1473714949_1_CALIB.LBL,23,53,889,919,0.007107324821526062,0.02251724096713854
N1473727285_1_CALIB.LBL,978,1008,59,89,0.023228068821512328,0.06861329635386401
N1473727285_1_CALIB.LBL,590,620,22,52,0.01789077797459604,0.05164286152918265
N1473727285_1_CALIB.LBL,799,829,199,229,0.016427264127720522,0.04823774971742633
N1473727285_1_CALIB.LBL,977,1007,469,499,0.013175768519517666,0.0377292454102719
N1473727285_1_CALIB.LBL,989,1019,235,265,0.024495441240748227,0.06482747542055413
N1473726373_1_CALIB.LBL,478,508,643,673,0.055701294445492995,0.14198133412348832
N1473726373_1_CALIB.LBL,469,499,976,1006,0.020007405398966588,0.05372762409074111
N1473725976_1_CALIB.LBL,317,347,540,570,0.013075926027412027,0.03495011001991422
N1473725976_1_CALIB.LBL,346,376,537,567,0.011949556740887645,0.03639638086716865
N1473725976_1_CALIB.LBL,553,583,55,85,0.04047318944984312,0.0989931669525041
N1473725976_1_CALIB.LBL,632,662,165,195,0.033135920371673025,0.08751250026931534
N1473725976_1_CALIB.LBL,764,794,236,266,0.03461129147665891,0.09609655440431811
N1473715224_1_CALIB.LBL,746,776,151,181,0.029673348207597913,0.08672993661516365
N1473715224_1_CALIB.LBL,542,572,89,119,0.033022177384691785,0.08834093600454347
N1473715224_1_CALIB.LBL,36,66,16,46,0.017005363431263923,0.055593500284112966
N1473715224_1_CALIB.LBL,738,768,186,216,0.026469114855085477,0.08155391324824957
N1473725479_1_CALIB.LBL,154,184,554,584,0.11323127599058558,0.24578544662558888
N1473725479_1_CALIB.LBL,243,273,577,607,0.11175059915432574,0.25019335731458614
N1473714343_1_CALIB.LBL,447,477,699,729,0.08817045023495475,0.20052802181903534
N1473714343_1_CALIB.LBL,72,102,524,554,0.11077132065463546,0.2521816639361279
N1473714343_1_CALIB.LBL,245,275,586,616,0.10369281763167812,0.23504022331962984
N1473714343_1_CALIB.LBL,633,663,812,842,0.0999881268433828,0.2593263235010793
N1473720031_1_CALIB.LBL,28,58,510,540,0.11413768450583477,0.2678010485880891
N1473720031_1_CALIB.LBL,144,174,542,572,0.11200271187310398,0.29208334308356876
N1473720031_1_CALIB.LBL,426,456,682,712,0.09646362361322307,0.22596169215777842
N1473720031_1_CALIB.LBL,580,610,758,788,0.1156835215415949,0.2757624207094667
N1473720031_1_CALIB.LBL,716,746,838,868,0.12623169038040205,0.292327878292669
N1473720031_1_CALIB.LBL,34,64,954,984,0.022088102182223512,0.06432508828546196
N1473726413_1_CALIB.LBL,824,854,556,586,0.0791666062621096,0.1961741423954382
N1473726413_1_CALIB.LBL,956,986,558,588,0.1033429559161423,0.2538263455800636
N1473726413_1_CALIB.LBL,288,318,374,404,0.11753891367821931,0.25321857863317904
N1473726413_1_CALIB.LBL,396,426,394,424,0.11011870101533831,0.2237136287378517
N1473726413_1_CALIB.LBL,966,996,642,672,0.0633190971494008,0.1476628721819767
N1473726413_1_CALIB.LBL,298,328,366,396,0.12993731643645948,0.2849123848292351
N1473726413_1_CALIB.LBL,442,472,402,432,0.11528494359759803,0.2596259173055986
N1473726413_1_CALIB.LBL,916,946,568,598,0.09281103320515348,0.2180828049285852
N1473719964_1_CALIB.LBL,255,285,613,643,0.07859093366770974,0.2063734189499905
N1473715613_1_CALIB.LBL,974,1004,618,648,0.0810066354985532,0.2005920016954948
N1473715613_1_CALIB.LBL,286,316,368,398,0.13397010277676075,0.2656782596719368
N1473715613_1_CALIB.LBL,983,1013,674,704,0.05895625942162038,0.1521722784373301
N1473725709_1_CALIB.LBL,735,765,553,583,0.019365162758565393,0.0527402439373253
N1473727218_1_CALIB.LBL,974,1004,22,52,0.026824868797962444,0.07247973002877543
N1473727218_1_CALIB.LBL,986,1016,116,146,0.023835977316680624,0.06033898598012056
N1473727218_1_CALIB.LBL,974,1004,24,54,0.027532812704157614,0.07247973002877543
N1473726024_1_CALIB.LBL,754,784,206,236,0.0277921279866437,0.07199864374082393
N1473726024_1_CALIB.LBL,632,662,30,60,0.03984035992587165,0.10481105264113179
N1473726024_1_CALIB.LBL,494,524,276,306,0.022109262160010124,0.05938891619293186
N1473726024_1_CALIB.LBL,646,676,734,764,0.015910083669437122,0.048035618829491575
N1473726024_1_CALIB.LBL,8,38,6,36,0.015526746240375854,0.05240688648701883
N1473710858_1_CALIB.LBL,964,994,14,44,0.027977573459535304,0.06876159623627998
N1473710858_1_CALIB.LBL,964,994,76,106,0.02590469667924602,0.06637855997377433
N1473710858_1_CALIB.LBL,428,458,658,688,0.026020429607666228,0.07108492940565311
N1473710858_1_CALIB.LBL,616,646,784,814,0.00791662140025199,0.025939990492872655
N1473715888_1_CALIB.LBL,348,378,340,370,0.14025378276055428,0.30539459893117327
N1473715888_1_CALIB.LBL,592,622,410,440,0.12209620264264447,0.32008881062717
N1473715888_1_CALIB.LBL,906,936,572,602,0.080896068657055,0.1928728834557982
N1473715888_1_CALIB.LBL,968,998,552,582,0.1152705323836971,0.273845492810367
