filename,orig_x0,orig_x1,orig_y0,orig_y1,mean,std,skew,kurt,pval
N1473725479_1_CALIB.LBL,243,273,577,607,-2.0696058e-12,0.00036753775,0.030152462422847748,2.9038962469952367,0.8830870879485229
N1473714343_1_CALIB.LBL,447,477,699,729,5.1740144e-12,0.00091930403,0.06924493610858917,3.1304337235329753,0.9782912909286807
N1473714343_1_CALIB.LBL,72,102,524,554,-8.278423e-12,0.0008769589,-0.00018948553770314902,2.9648381888200204,0.9119295412759211
N1473714343_1_CALIB.LBL,245,275,586,616,1.2417635e-11,0.0008604841,0.02132341079413891,3.046214377952942,0.8548941763593809
N1473714343_1_CALIB.LBL,633,663,812,842,9.571927e-12,0.0010191057,-0.013942765071988106,2.977909646673838,0.8024473219790986
N1473720031_1_CALIB.LBL,28,58,510,540,2.0696058e-12,0.0005567435,0.055083803832530975,2.8762051744385397,0.9347055852005247
N1473720031_1_CALIB.LBL,144,174,542,572,2.0696058e-12,0.00053730875,0.02864042855799198,3.04818234267328,0.9265806259253482
N1473720031_1_CALIB.LBL,426,456,682,712,1.5522043e-12,0.00058876735,-0.013897771947085857,3.1121643234272836,0.8025903551570954
N1473720031_1_CALIB.LBL,580,610,758,788,-1.810905e-12,0.0005744208,0.05760357156395912,2.725872585852358,0.9513878398886616
N1473720031_1_CALIB.LBL,716,746,838,868,0.0,0.0005542296,-0.03191222622990608,2.9079702419844833,0.9629240796220968
N1473720031_1_CALIB.LBL,34,64,954,984,-1.5522043e-12,0.001417352,0.03700431436300278,3.05310831736807,0.853056438199175
N1473726413_1_CALIB.LBL,824,854,556,586,-1.5522044e-11,0.0011045092,-0.025524554774165154,3.0340574706905343,0.8744874185351361
N1473726413_1_CALIB.LBL,956,986,558,588,-4.1392115e-12,0.00093174085,0.030128633603453636,2.7914843246993386,0.9877062064424866
N1473726413_1_CALIB.LBL,288,318,374,404,9.3132255e-12,0.00096005964,0.09433217346668243,2.849567602364028,0.9311373318173535
N1473726413_1_CALIB.LBL,396,426,394,424,-2.0696058e-12,0.0009661748,-0.002655481221154332,2.740910007339593,0.97668573895385
N1473726413_1_CALIB.LBL,966,996,642,672,1.0348029e-12,0.0012817808,-0.05616884306073189,3.0054945142200857,0.9856124216036487
N1473726413_1_CALIB.LBL,298,328,366,396,-1.0348029e-12,0.00089642307,0.035938460379838943,2.989557290941311,0.7692383487335884
N1473726413_1_CALIB.LBL,442,472,402,432,-1.8626451e-11,0.001166636,-0.008441142737865448,2.933307501896979,0.9977824056385952
N1473726413_1_CALIB.LBL,916,946,568,598,0.0,0.0009450605,-0.06060246378183365,2.801138133313495,0.9465661515310505
N1473719964_1_CALIB.LBL,255,285,613,643,6.2088173e-12,0.0007171372,0.03087044134736061,3.0074484732090556,0.9711194986617363
N1473715613_1_CALIB.LBL,974,1004,618,648,-5.1740144e-13,0.0010952346,-0.05740833654999733,2.9036411773012416,0.8961863376391618
N1473715613_1_CALIB.LBL,286,316,368,398,-1.6556846e-11,0.00095636985,0.04842790216207504,2.7858268071969667,0.956866442118832
N1473715613_1_CALIB.LBL,983,1013,674,704,-6.2088173e-12,0.0012963082,0.005802738945931196,2.960946772590592,0.9971074656542988
N1473725709_1_CALIB.LBL,735,765,553,583,-3.1044087e-12,0.0011634114,0.07665395736694336,3.0498809872178816,0.9597402442809158
N1473727218_1_CALIB.LBL,974,1004,22,52,-8.278423e-12,0.0015792049,0.04716778174042702,3.144955566210539,0.8261863753458598
N1473727218_1_CALIB.LBL,986,1016,116,146,0.0,0.001879324,-0.12230361253023148,2.775910258539941,0.9071601192742342
N1473727218_1_CALIB.LBL,974,1004,24,54,6.2088173e-12,0.0015777794,0.03259316086769104,3.1267469937794052,0.9034321738992418
N1473726024_1_CALIB.LBL,754,784,206,236,1.5522043e-12,0.00060272694,-0.030040275305509567,2.997876459085586,0.9906935244492983
N1473726024_1_CALIB.LBL,632,662,30,60,2.0696058e-12,0.00052968686,0.02911766804754734,2.9379928678169422,0.724346558730087
N1473726024_1_CALIB.LBL,494,524,276,306,-4.1392115e-12,0.0008491261,0.046903952956199646,2.8999351721799362,0.8846953227004434
N1473726024_1_CALIB.LBL,646,676,734,764,-1.2417635e-11,0.00086462486,0.06742750108242035,3.11481696084864,0.9060505058044583
N1473726024_1_CALIB.LBL,8,38,6,36,4.1392115e-12,0.00078904757,0.03570279851555824,2.7326858813947297,0.875360135787188
N1473710858_1_CALIB.LBL,964,994,14,44,-4.1392115e-12,0.0022390515,-0.044638294726610184,3.099822924205531,0.9773610363336073
N1473710858_1_CALIB.LBL,964,994,76,106,4.1392115e-12,0.002563985,0.026832222938537598,2.9549957334633303,0.9665708217242307
N1473710858_1_CALIB.LBL,428,458,658,688,-8.278423e-12,0.0054347417,-0.14559517800807953,3.27366911816397,0.7993703743786229
N1473710858_1_CALIB.LBL,616,646,784,814,-2.0696058e-12,0.004031596,0.049128782004117966,3.0510109180856078,0.9852207544463754
N1473715888_1_CALIB.LBL,348,378,340,370,1.0348029e-12,0.00035218633,0.05281827971339226,3.0104736481433827,0.9895274984650728
N1473715888_1_CALIB.LBL,592,622,410,440,-1.0348029e-12,0.00036944126,-0.0668623149394989,3.223754043792734,0.9883099432843498
N1473715888_1_CALIB.LBL,906,936,572,602,2.5870072e-12,0.00044222688,-0.06667134910821915,2.945096764522516,0.9622658153877492
N1473715888_1_CALIB.LBL,968,998,552,582,3.1044087e-12,0.00037124896,0.07536199688911438,2.901077986860829,0.9445654470354763
